1;ToyStory(1995);Adventure|Animation|Children|Comedy|Fantasy
2;Jumanji(1995);Adventure|Children|Fantasy
3;GrumpierOldMen(1995);Comedy|Romance
4;WaitingtoExhale(1995);Comedy|Drama|Romance
5;FatheroftheBridePartII(1995);Comedy
6;Heat(1995);Action|Crime|Thriller
7;Sabrina(1995);Comedy|Romance
8;TomandHuck(1995);Adventure|Children
9;SuddenDeath(1995);Action
10;GoldenEye(1995);Action|Adventure|Thriller
11;AmericanPresident,The(1995);Comedy|Drama|Romance
12;DraculaDeadandLovingIt(1995);Comedy|Horror
13;Balto(1995);Animation|Children
14;Nixon(1995);Drama
15;CutthroatIsland(1995);Action|Adventure|Romance
16;Casino(1995);Crime|Drama
17;SenseandSensibility(1995);Comedy|Drama|Romance
18;FourRooms(1995);Comedy|Drama|Thriller
19;AceVenturaWhenNatureCalls(1995);Comedy
20;MoneyTrain(1995);Action|Comedy|Crime|Drama|Thriller
21;GetShorty(1995);Action|Comedy|Drama
22;Copycat(1995);Crime|Drama|Horror|Mystery|Thriller
23;Assassins(1995);Action|Crime|Thriller
24;Powder(1995);Drama|Sci-Fi
25;LeavingLasVegas(1995);Drama|Romance
26;Othello(1995);Drama
27;NowandThen(1995);Drama
28;Persuasion(1995);Drama|Romance
29;CityofLostChildren,The(CitĂ©desenfantsperdus,La)(1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi
30;ShanghaiTriad(Yaoayaoyaodaowaipoqiao)(1995);Crime|Drama
31;DangerousMinds(1995);Drama
32;12Monkeys(TwelveMonkeys)(1995);Sci-Fi|Thriller
33;WingsofCourage(1995);Adventure|IMAX|Romance
34;Babe(1995);Children|Comedy|Drama|Fantasy
35;Carrington(1995);Drama|Romance
36;DeadManWalking(1995);Crime|Drama
37;AcrosstheSeaofTime(1995);Documentary|IMAX
38;ItTakesTwo(1995);Comedy
39;Clueless(1995);Comedy|Romance
40;Cry,theBelovedCountry(1995);Drama
41;RichardIII(1995);Drama|War
42;DeadPresidents(1995);Action|Crime|Drama
43;Restoration(1995);Drama
44;MortalKombat(1995);Action|Adventure|Fantasy
45;ToDieFor(1995);Comedy|Drama|Thriller
46;HowtoMakeanAmericanQuilt(1995);Drama|Romance
47;Seven(a.k.a.Se7en)(1995);Crime|Horror|Mystery|Thriller
48;Pocahontas(1995);Animation|Children|Musical|Romance
49;WhenNightIsFalling(1995);Drama|Romance
50;UsualSuspects,The(1995);Crime|Mystery|Thriller
51;GuardianAngel(1994);Action|Drama|Thriller
52;MightyAphrodite(1995);Comedy|Drama|Romance
53;Lamerica(1994);Adventure|Drama
54;BigGreen,The(1995);Children|Comedy
55;Georgia(1995);Drama
56;KidsoftheRoundTable(1995);Adventure|Children|Fantasy
57;HomefortheHolidays(1995);Drama
58;Postman,The(Postino,Il)(1994);Comedy|Drama|Romance
59;Confessional,The(Confessionnal,Le)(1995);Drama|Mystery
60;IndianintheCupboard,The(1995);Adventure|Children|Fantasy
61;EyeforanEye(1996);Drama|Thriller
62;Mr.Holland'sOpus(1995);Drama
63;Don'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood(1996);Comedy|Crime
64;TwoifbySea(1996);Comedy|Romance
65;Bio-Dome(1996);Comedy
66;LawnmowerMan2BeyondCyberspace(1996);Action|Sci-Fi|Thriller
67;TwoBits(1995);Drama
68;FrenchTwist(Gazonmaudit)(1995);Comedy|Romance
69;Friday(1995);Comedy
70;FromDuskTillDawn(1996);Action|Comedy|Horror|Thriller
71;FairGame(1995);Action
72;KickingandScreaming(1995);Comedy|Drama
73;MisĂ©rables,Les(1995);Drama|War
74;BedofRoses(1996);Drama|Romance
75;BigBully(1996);Comedy|Drama
76;Screamers(1995);Action|Sci-Fi|Thriller
77;NicoIcon(1995);Documentary
78;CrossingGuard,The(1995);Drama
79;Juror,The(1996);Drama|Thriller
80;WhiteBalloon,The(Badkonakesefid)(1995);Children|Drama
81;ThingstoDoinDenverWhenYou'reDead(1995);Crime|Drama|Romance
82;Antonia'sLine(Antonia)(1995);Comedy|Drama
83;OnceUponaTime...WhenWeWereColored(1995);Drama
84;LastSummerintheHamptons(1995);Comedy|Drama
85;AngelsandInsects(1995);Drama|Romance
86;WhiteSquall(1996);Adventure|Drama
87;DunstonChecksIn(1996);Children|Comedy
88;BlackSheep(1996);Comedy
89;NickofTime(1995);Action|Thriller
90;JourneyofAugustKing,The(1995);Drama
92;MaryReilly(1996);Drama|Horror|Thriller
93;VampireinBrooklyn(1995);Comedy|Romance
94;BeautifulGirls(1996);Comedy|Drama|Romance
95;BrokenArrow(1996);Action|Adventure|Thriller
96;IntheBleakMidwinter(1995);Comedy|Drama
97;Hate(Haine,La)(1995);Drama
98;Shopping(1994);Action|Thriller
99;HeidiFleissHollywoodMadam(1995);Documentary
100;CityHall(1996);Drama|Thriller
