MovieId,Title,Genres
1,ToyStory1995,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji1995,Adventure|Children|Fantasy
3,GrumpierOldMen1995,Comedy|Romance
4,WaitingtoExhale1995,Comedy|Drama|Romance
5,FatheroftheBridePartII1995,Comedy
6,Heat1995,Action|Crime|Thriller
7,Sabrina1995,Comedy|Romance
8,TomandHuck1995,Adventure|Children
9,SuddenDeath1995,Action
10,GoldenEye1995,Action|Adventure|Thriller
11,AmericanPresident The1995,Comedy|Drama|Romance
12,Dracula,DeadandLovingIt1995
13,Balto1995,Animation|Children
14,Nixon1995,Drama
15,CutthroatIsland1995,Action|Adventure|Romance
16,Casino1995,Crime|Drama
17,SenseandSensibility1995,Comedy|Drama|Romance
18,FourRooms1995,Comedy|Drama|Thriller
19,AceVentura,WhenNatureCalls1995
20,MoneyTrain1995,Action|Comedy|Crime|Drama|Thriller
21,GetShorty1995,Action|Comedy|Drama
22,Copycat1995,Crime|Drama|Horror|Mystery|Thriller
23,Assassins1995,Action|Crime|Thriller
24,Powder1995,Drama|Sci-Fi
25,LeavingLasVegas1995,Drama|Romance
26,Othello1995,Drama
27,NowandThen1995,Drama
28,Persuasion1995,Drama|Romance
29,CityofLostChildren TheCitĂ©desenfantsperdus,La1995
30,ShanghaiTriadYaoayaoyaodaowaipoqiao1995,Crime|Drama
31,DangerousMinds1995,Drama
32,12MonkeysTwelveMonkeys1995,Sci-Fi|Thriller
33,WingsofCourage1995,Adventure|IMAX|Romance
34,Babe1995,Children|Comedy|Drama|Fantasy
35,Carrington1995,Drama|Romance
36,DeadManWalking1995,Crime|Drama
37,AcrosstheSeaofTime1995,Documentary|IMAX
38,ItTakesTwo1995,Comedy
39,Clueless1995,Comedy|Romance
40,Cry TheBelovedCountry1995,Drama
41,RichardIII1995,Drama|War
42,DeadPresidents1995,Action|Crime|Drama
43,Restoration1995,Drama
44,MortalKombat1995,Action|Adventure|Fantasy
45,ToDieFor1995,Comedy|Drama|Thriller
46,HowtoMakeanAmericanQuilt1995,Drama|Romance
47,Sevena.k.a.Se7en1995,Crime|Horror|Mystery|Thriller
48,Pocahontas1995,Animation|Children|Musical|Romance
49,WhenNightIsFalling1995,Drama|Romance
50,UsualSuspects The1995,Crime|Mystery|Thriller
51,GuardianAngel1994,Action|Drama|Thriller
52,MightyAphrodite1995,Comedy|Drama|Romance
53,Lamerica1994,Adventure|Drama
54,BigGreen The1995,Children|Comedy
55,Georgia1995,Drama
56,KidsoftheRoundTable1995,Adventure|Children|Fantasy
57,HomefortheHolidays1995,Drama
58,Postman ThePostino,Il1994
59,Confessional TheConfessionnal,Le1995
60,IndianintheCupboard The1995,Adventure|Children|Fantasy
61,EyeforanEye1996,Drama|Thriller
62,Mr.Holland sOpus1995,Drama
63,Don tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood1996,Comedy|Crime
64,TwoifbySea1996,Comedy|Romance
65,Bio-Dome1996,Comedy
66,LawnmowerMan2,BeyondCyberspace1996
67,TwoBits1995,Drama
68,FrenchTwistGazonmaudit1995,Comedy|Romance
69,Friday1995,Comedy
70,FromDuskTillDawn1996,Action|Comedy|Horror|Thriller
71,FairGame1995,Action
72,KickingandScreaming1995,Comedy|Drama
73,MisĂ©rables,Les1995
74,BedofRoses1996,Drama|Romance
75,BigBully1996,Comedy|Drama
76,Screamers1995,Action|Sci-Fi|Thriller
77,NicoIcon1995,Documentary
78,CrossingGuard The1995,Drama
79,Juror The1996,Drama|Thriller
80,WhiteBalloon TheBadkonakesefid1995,Children|Drama
81,ThingstoDoinDenverWhenYou reDead1995,Crime|Drama|Romance
82,Antonia sLineAntonia1995,Comedy|Drama
83,OnceUponaTime...WhenWeWereColored1995,Drama
84,LastSummerintheHamptons1995,Comedy|Drama
85,AngelsandInsects1995,Drama|Romance
86,WhiteSquall1996,Adventure|Drama
87,DunstonChecksIn1996,Children|Comedy
88,BlackSheep1996,Comedy
89,NickofTime1995,Action|Thriller
90,JourneyofAugustKing The1995,Drama
92,MaryReilly1996,Drama|Horror|Thriller
93,VampireinBrooklyn1995,Comedy|Romance
94,BeautifulGirls1996,Comedy|Drama|Romance
95,BrokenArrow1996,Action|Adventure|Thriller
96,IntheBleakMidwinter1995,Comedy|Drama
97,HateHaine,La1995
98,Shopping1994,Action|Thriller
99,HeidiFleiss,HollywoodMadam1995
100,CityHall1996,Drama|Thriller
101,BottleRocket1996,Adventure|Comedy|Crime|Romance
102,Mr.Wrong1996,Comedy
103,Unforgettable1996,Mystery|Sci-Fi|Thriller
104,HappyGilmore1996,Comedy
105,BridgesofMadisonCounty The1995,Drama|Romance
106,NobodyLovesMeKeinerliebtmich1994,Comedy|Drama
107,MuppetTreasureIsland1996,Adventure|Children|Comedy|Musical
108,Catwalk1996,Documentary
109,HeadlessBodyinToplessBar1995,Comedy
110,Braveheart1995,Action|Drama|War
111,TaxiDriver1976,Crime|Drama|Thriller
112,RumbleintheBronxHontfaankui1995,Action|Adventure|Comedy|Crime
113,BeforeandAfter1996,Drama|Mystery
114,Margaret sMuseum1995,Drama
115,HappinessIsintheFieldBonheurestdansleprĂ©,Le1995
116,AnneFrankRemembered1995,Documentary
117,YoungPoisoner sHandbook The1995,Crime|Drama
118,IfLucyFell1996,Comedy|Romance
119,StealBig,StealLittle1995
120,RacetheSun1996,Drama
121,BoysofSt.Vincent The1992,Drama
122,Boomerang1992,Comedy|Romance
123,ChungkingExpressChĂłngqĂ¬ngSenlĂ­n1994,Drama|Mystery|Romance
124,StarMaker TheL Uomodellestelle1995,Drama
125,FlirtingWithDisaster1996,Comedy
126,NeverEndingStoryIII The1994,Adventure|Children|Fantasy
127,SilenceofthePalace TheSaimtelQusur1994,Drama
128,Jupiter sWife1994,Documentary
129,PieintheSky1996,Comedy|Romance
130,Angela1995,Drama
131,FrankieStarlight1995,Drama|Romance
132,Jade1995,Thriller
133,NuebaYol1995,Comedy|Drama
134,SonicOutlaws1995,Documentary
135,DownPeriscope1996,Comedy
136,FromtheJournalsofJeanSeberg1995,Documentary
137,ManoftheYear1995,Documentary
138,NeonBible The1995,Drama
139,Target1995,Action|Drama
140,UpCloseandPersonal1996,Drama|Romance
141,Birdcage The1996,Comedy
142,ShadowsCienie1988,Drama
143,Gospa1995,Drama
144,BrothersMcMullen The1995,Comedy
145,BadBoys1995,Action
146,AmazingPandaAdventure The1995,Adventure|Children
147,BasketballDiaries The1995,Drama
148,AwfullyBigAdventure,An1995
149,Amateur1994,Crime|Drama|Thriller
150,Apollo131995,Adventure|Drama
151,RobRoy1995,Action|Drama|Romance|War
152,Addiction The1995,Drama|Horror
153,BatmanForever1995,Action|Adventure|Comedy|Crime
154,Belledejour1967,Drama
155,BeyondRangoon1995,Adventure|Drama|War
156,BlueintheFace1995,Comedy|Drama
157,CanadianBacon1995,Comedy|War
158,Casper1995,Adventure|Children
159,Clockers1995,Crime|Drama|Mystery
160,Congo1995,Action|Adventure|Mystery|Sci-Fi
161,CrimsonTide1995,Drama|Thriller|War
162,Crumb1994,Documentary
163,Desperado1995,Action|Romance|Thriller
164,DevilinaBlueDress1995,Crime|Film-Noir|Mystery|Thriller
165,DieHard,WithaVengeance1995
166,DoomGeneration The1995,Comedy|Crime|Drama
167,FeastofJuly1995,Drama
168,FirstKnight1995,Action|Drama|Romance
169,FreeWilly2 TheAdventureHome1995,Adventure|Children|Drama
170,Hackers1995,Action|Adventure|Crime|Thriller
171,Jeffrey1995,Comedy|Drama
172,JohnnyMnemonic1995,Action|Sci-Fi|Thriller
173,JudgeDredd1995,Action|Crime|Sci-Fi
174,JuryDuty1995,Comedy
175,Kids1995,Drama
176,LivinginOblivion1995,Comedy
177,LordofIllusions1995,Horror
178,Love&HumanRemains1993,Comedy|Drama
179,MadLove1995,Drama|Romance
180,Mallrats1995,Comedy
181,MightyMorphinPowerRangers TheMovie1995,Action|Children
182,MoonlightandValentino1995,Drama|Romance
183,MuteWitness1994,Comedy|Horror|Thriller
184,Nadja1994,Drama
185,Net The1995,Action|Crime|Thriller
186,NineMonths1995,Comedy|Romance
187,PartyGirl1995,Comedy
188,Prophecy The1995,Fantasy|Horror|Mystery
189,Reckless1995,Comedy|Fantasy
190,Safe1995,Thriller
191,ScarletLetter The1995,Drama|Romance
192,Show The1995,Documentary
193,Showgirls1995,Drama
194,Smoke1995,Comedy|Drama
195,SomethingtoTalkAbout1995,Comedy|Drama|Romance
196,Species1995,Horror|Sci-Fi
197,StarsFellonHenrietta The1995,Drama
198,StrangeDays1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,UmbrellasofCherbourg TheParapluiesdeCherbourg,Les1964
200,TieThatBinds The1995,Thriller
201,ThreeWishes1995,Drama
202,TotalEclipse1995,Drama|Romance
203,ToWongFoo,ThanksforEverything!JulieNewmar1995
204,UnderSiege2,DarkTerritory1995
205,UnstrungHeroes1995,Comedy|Drama
206,Unzipped1995,Documentary
207,WalkintheClouds,A1995
208,Waterworld1995,Action|Adventure|Sci-Fi
209,WhiteMan sBurden1995,Drama
210,WildBill1995,Western
211,BrowningVersion The1994,Drama
212,Bushwhacked1995,Adventure|Comedy|Crime|Mystery
213,BurntbytheSunUtomlyonnyesolntsem1994,Drama
214,BeforetheRainPreddozhdot1994,Drama|War
215,BeforeSunrise1995,Drama|Romance
216,BillyMadison1995,Comedy
217,Babysitter The1995,Drama|Thriller
218,BoysontheSide1995,Comedy|Drama
219,Cure The1995,Drama
220,CastleFreak1995,Horror
222,CircleofFriends1995,Drama|Romance
223,Clerks1994,Comedy
224,DonJuanDeMarco1995,Comedy|Drama|Romance
225,Disclosure1994,Drama|Thriller
226,DreamMan1995,Thriller
227,DropZone1994,Action|Thriller
228,DestinyTurnsontheRadio1995,Comedy
229,DeathandtheMaiden1994,Drama|Thriller
230,DoloresClaiborne1995,Drama|Thriller
231,Dumb&Dumber1994,Comedy
232,EatDrinkManWomanYinshinannu1994,Comedy|Drama|Romance
233,Exotica1994,Drama
234,ExittoEden1994,Comedy
235,EdWood1994,Comedy|Drama
236,FrenchKiss1995,Action|Comedy|Romance
237,ForgetParis1995,Comedy|Romance
238,FarFromHome TheAdventuresofYellowDog1995,Adventure|Children
239,GoofyMovie,A1995
240,Hideaway1995,Thriller
241,Fluke1995,Children|Drama
242,Farinelli,ilcastrato1994
243,Gordy1995,Comedy
244,Gumby TheMovie1995,Animation|Children
245,GlassShield The1994,Crime|Drama
246,HoopDreams1994,Documentary
247,HeavenlyCreatures1994,Crime|Drama|Fantasy|Romance|Thriller
248,Houseguest1994,Comedy
249,ImmortalBeloved1994,Drama|Romance
250,Heavyweightsa.k.a.HeavyWeights1995,Children|Comedy
251,Hunted The1995,Action
252,I.Q.1994,Comedy|Romance
253,InterviewwiththeVampire TheVampireChronicles1994,Drama|Horror
254,JeffersoninParis1995,Drama
255,JerkyBoys The1994,Comedy
256,Junior1994,Comedy|Sci-Fi
257,JustCause1995,Mystery|Thriller
258,KidinKingArthur sCourt,A1995
259,KissofDeath1995,Crime|Drama|Thriller
260,StarWars,EpisodeIV-ANewHopea.k.a.StarWars1977
261,LittleWomen1994,Drama
262,LittlePrincess,A1995
263,LadybirdLadybird1994,Drama
264,Enfer,L 1994
265,LikeWaterforChocolateComoaguaparachocolate1992,Drama|Romance
266,LegendsoftheFall1994,Drama|Romance|War|Western
267,MajorPayne1995,Comedy
268,LittleOdessa1994,Drama
269,MyCrazyLifeMividaloca1993,Drama
270,LoveAffair1994,Drama|Romance
271,LosingIsaiah1995,Drama
272,MadnessofKingGeorge The1994,Comedy|Drama
273,FrankensteinMaryShelley sFrankenstein1994,Drama|Horror
274,ManoftheHouse1995,Comedy
275,MixedNuts1994,Comedy
276,MilkMoney1994,Comedy|Romance
277,Miracleon34thStreet1994,Drama
278,MiamiRhapsody1995,Comedy
279,MyFamily1995,Drama
280,MurderintheFirst1995,Drama|Thriller
281,Nobody sFool1994,Comedy|Drama|Romance
282,Nell1994,Drama
283,NewJerseyDrive1995,Crime|Drama
284,NewYorkCopNyĂ»YĂ´kunokoppu1993,Action|Crime
285,BeyondBedlam1993,Drama|Horror
286,Nemesis2,Nebula1995
287,NinaTakesaLover1994,Comedy|Romance
288,NaturalBornKillers1994,Action|Crime|Thriller
289,OnlyYou1994,Comedy|Romance
290,OnceWereWarriors1994,Crime|Drama
291,PoisonIvyII1996,Drama|Thriller
292,Outbreak1995,Action|Drama|Sci-Fi|Thriller
293,LĂ©on TheProfessionalLĂ©onProfessional The1994,Crime|Drama|Romance|Thriller
294,PerezFamily The1995,Comedy|Romance
295,Pyromaniac sLoveStory,A1995
296,PulpFiction1994,Comedy|Crime|Drama
297,Panther1995,Drama
298,PushingHandsTuishou1992,Comedy|Drama
299,Priest1994,Drama
300,QuizShow1994,Drama
301,PictureBrideBijophoto1994,Drama|Romance
302,QueenMargotLaReineMargot1994,Drama|Romance
303,QuickandtheDead The1995,Action|Adventure|Western
304,Roommates1995,Comedy|Drama
305,ReadytoWearPret-A-Porter1994,Comedy
306,ThreeColors,RedTroiscouleurs
307,ThreeColors,BlueTroiscouleurs
308,ThreeColors,WhiteTroiscouleurs
309,RedFirecracker,GreenFirecrackerPaoDaShuangDeng1994
310,Rent-a-Kid1995,Comedy
311,RelativeFear1994,Horror|Thriller
312,StuartSavesHisFamily1995,Comedy
313,SwanPrincess The1994,Animation|Children
314,SecretofRoanInish The1994,Children|Drama|Fantasy|Mystery
315,Specialist The1994,Action|Drama|Thriller
316,Stargate1994,Action|Adventure|Sci-Fi
317,SantaClause The1994,Comedy|Drama|Fantasy
318,ShawshankRedemption The1994,Drama
319,ShallowGrave1994,Comedy|Drama|Thriller
320,Suture1993,Film-Noir|Thriller
321,StrawberryandChocolateFresaychocolate1993,Drama
